date, Iron_Feed,Silica_Feed,Starch_Flow,Amina_Flow,Ore_Pulp_Flow,Ore_Pulp_pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation_Column_04AirFlow,Flotation_Column_05AirFlow,Flotation _Column06Air Flow,Flotation_Column07AirFlow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation _Column04Level,Flotation_Column05Level,Flotation_Column06Level,Flotation_Column07Level,Iron_Concentrate,Silica _Concentrate
10-03-2017 01:00,"55,2","16,98","3019,53","5,57,434","3,95,713","1,00,664","1,74","2,49,214","2,53,235","2,50,576","2,95,096","306,4","2,50,225","2,50,884","4,57,396","4,32,962","4,24,954","4,43,558","5,02,255","446,37","5,23,344","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3024,41","5,63,965","3,97,383","1,00,672","1,74","2,49,719","2,50,532","2,50,862","2,95,096","306,4","2,50,137","2,48,994","4,51,891","429,56","4,32,939","4,48,086","4,96,363","4,45,922","4,98,075","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3043,46","5,68,054","3,99,668","10,068","1,74","2,49,741","2,47,874","2,50,313","2,95,096","306,4","2,51,345","2,48,071","451,24","4,68,927","434,61","4,49,688","4,84,411","4,47,826","4,58,567","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3047,36","5,68,665","3,97,939","1,00,689","1,74","2,49,917","2,54,487","2,50,049","2,95,096","306,4","2,50,422","2,51,147","4,52,441","4,58,165","4,42,865","446,21","4,71,411","437,69","4,27,669","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3033,69","5,58,167","4,00,254","1,00,697","1,74","2,50,203","2,52,136","2,49,895","2,95,096","306,4","2,49,983","2,48,928","4,52,441","452,9","4,50,523","453,67","4,62,598","4,43,682","4,25,679","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3088,09","6,06,689","4,03,638","1,01,248","1,74,909","2,51,213","2,49,313","2,48,719","2,95,096","306,4","256,63","2,50,807","4,55,044","5,31,516","461,86","4,41,758","4,21,979","4,21,836","4,29,568","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3090,33","6,03,912","4,02,217","1,01,246","1,74,874","2,50,796","2,48,785","2,48,665","2,95,096","306,4","2,48,181","2,49,697","4,53,843","5,23,018","464,31","4,40,233","4,31,621","4,12,732","4,02,646","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3103,91","6,07,574","4,01,499","1,01,243","17,484","2,50,774","2,47,632","2,48,796","2,95,096","306,4","2,50,763","2,49,675","4,44,634","5,05,917","4,56,862","4,71,521","4,52,134","4,33,711","3,94,947","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3134,77","6,10,748","4,09,351","1,01,241","1,74,806","2,51,213","2,47,775","248,95","2,95,096","306,4","2,50,225","2,51,543","4,53,117","216,37","4,51,438","4,98,219","4,73,889","4,66,166","4,12,048","66,91","1,31"
10-03-2017 01:00,"55,2","16,98","3153,52","6,08,582","4,06,538","1,01,238","1,74,771","2,51,367","2,47,709","2,50,521","2,95,096","306,4","2,45,929","2,49,895","4,58,647","30,84,095","4,45,802","4,92,324","4,91,932","4,91,562","4,49,351","66,91","1,31"
10-03-2017 02:00,"55,2","16,98","3193,36","5,35,339","3,98,174","1,01,531","1,65,878","2,49,346","2,49,478","2,50,203","2,95,096","306,4","2,49,829","2,50,334","4,37,302","4,95,831","451,06","4,38,944","4,34,459","4,56,982","451,97","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","3234,57","5,33,651","394,42","1,01,525","1,65,775","2,49,065","2,49,003","2,49,494","2,95,096","306,4","2,49,829","2,48,605","4,38,857","454,93","4,56,717","4,49,011","4,32,837","4,25,591","4,25,745","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","3228,13","5,33,752","3,96,533","1,01,519","1,65,671","249,5","2,50,269","249,39","2,95,096","306,4","2,50,159","248,84","4,48,187","421,69","4,67,525","454,49","442,83","418,64","4,16,575","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","3111,43","5,31,006","3,97,266","1,01,513","1,65,568","249,5","2,54,004","249,28","2,95,096","306,4","2,50,269","2,50,818","4,43,683","4,17,445","4,64,285","4,55,665","455,5","4,45,525","422,37","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","2995,61","5,33,447","3,91,992","1,01,507","1,65,465","249,28","2,52,356","249,06","2,95,096","306,4","2,50,159","2,50,269","4,45,685","4,17,445",457,"454,69","4,62,385","476,33","4,40,855","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","3154,79","5,36,957","396,27","1,01,542","1,66,084","2,49,609","2,48,676","2,51,049","2,95,096","306,4","2,50,587","249,39","4,43,358","4,98,947","438,6","4,30,743","4,34,728","498,17","502,02","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","3162,21","5,36,316","3,98,438","1,01,536","1,65,981","249,73","2,47,917","2,51,027","2,95,096","306,4","2,50,126","250,84","4,46,035","5,16,221","4,49,607","4,30,763","4,34,786","4,88,678","4,98,732","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","160831833,33,333","5,10,864","3,98,584","1,01,636","1,63,397","249,5","2,46,863","2,48,181","2,95,096","306,4","2,50,378","2,49,939","4,53,192","430,47","454,57","429,49","3,92,705","443,29","3,96,715","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","164534666,66,667","5,09,949","3,97,852","1,01,656","1,63,293","2,49,939","2,48,511","2,48,291","2,95,096","306,4","2,50,378","2,48,621","4,57,196","452,84","4,52,415","4,38,475","3,95,185","465,69","403,61","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","16,82,375","5,07,202","4,01,514","1,01,676","16,319","2,49,609","249,06","2,49,829","2,95,096","306,4","2,50,269","2,50,049","4,62,451","469,55","449,45","4,41,015","400,97","467,65","407,47","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","171940333,33,333","5,04,456","404,15","1,01,696","1,63,086","249,06","2,48,621","2,51,257","2,95,096","306,4","2,50,269","249,5","4,72,211","4,99,855","4,54,845","442,97","3,97,665","4,31,525","4,16,575","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","175643166,66,667","5,05,371","4,08,691","1,01,716","1,62,983","248,95","2,50,049","2,51,147","2,95,096","306,4","2,50,269","2,48,511","4,68,457","531,29","459,7","447,66","394,91","412,2","420,99","67,06","1,11"
